FID,roof,road,watr,conc,Veg,dry,irr,H,W
149,0.431047523,0.236669608,0.000378167,0,0.121769822,0.210071852,6.30E-05,4.31047523,17.06857431
150,0.52919685,0.232251969,0,0,0.126425197,0.112125984,0,5.291968504,14.12409449
151,0.387995825,0.181628392,0.000939457,0,0.150521921,0.278914405,0,4,18.36012526
152,0,0,0,0,0,1,0,4,30
153,0,0,0,0,0,1,0,4,30
154,0,0,0,0,0,1,0,4,30
155,0,0,0,0,0,1,0,4,30
156,0,0,0,0,0,1,0,4,30
157,0,0,0,0,0,1,0,4,30
158,0,0,0,0,0,1,0,4,30
159,0,0,0,0,0,1,0,4,30
160,0,0,0,0,0,1,0,4,30
161,0,0.593175853,0.080614923,0,0.089488814,0.16104237,0.07567804,4,30
162,0.000558001,0.013144026,0.33008866,0,0.362266725,0.146382293,0.147560295,4,29.98325997
163,0.001124859,0.015248094,0.15991751,0,0.307086614,0.348268966,0.168353956,4,29.96625422
164,0,0.001240002,0.119164238,0,0.178560357,0.407216814,0.293818588,4,30
165,0,0,0.187164104,0,0.1696038,0.338895138,0.304336958,4,30
166,0,0,0.17304087,0,0.101237345,0.402012248,0.323709536,4,30
167,0.013702027,0.000682001,0.190464381,0,0.101494203,0.300452601,0.393204786,4,29.58893918
168,0.025559305,0.24271966,0.158980127,0,0.141794776,0.317022872,0.11392326,4,29.23322085
169,0.036682915,0.100612423,0.092050994,0,0.153293338,0.562804649,0.054555681,4,28.89951256
170,0.103912208,0.178436357,0.000682001,0,0.045756092,0.67009734,0.001116002,4,26.88263377
171,0.149981252,0.33608299,0,0,0.037995251,0.472940882,0.002999625,4,25.50056243
172,0.154318309,0.25990452,0.000682001,0,0.050344101,0.530535061,0.004216008,4,25.37045074
173,0.355705537,0.200912386,0.000437445,0,0.080739908,0.353643295,0.00856143,4,19.3288339
174,0.071053618,0.273340832,0,0,0.08767654,0.561992251,0.005936758,4,27.86839145
175,0.017918036,0.83024366,0.000558001,0,0.057350115,0.090892182,0.003038006,4,29.46245892
176,0.055055618,0.322272216,0.008748906,0,0.125109361,0.234345707,0.254468191,4,28.34833146
177,0.015623047,0.0688039,0.006686664,0,0.209286339,0.495625547,0.203974503,4,29.53130859
178,0.328414657,0.172546345,0.003224006,0,0.146258293,0.206088412,0.143468287,4,20.1475603
179,0.304761905,0.289160401,0.050313283,0,0.156892231,0.163596491,0.035275689,4,20.85714286
180,0.167968506,0.206523777,0.253889896,0,0.16128226,0.160407424,0.049928138,4,24.96094482
181,0.329615939,0.327736357,0.001566318,0,0.184261638,0.120167909,0.036651839,4,20.11152183
182,0.430314585,0.24416905,0.000444868,0,0.139243724,0.179281856,0.006545917,4.303145853,17.09056244
183,0.129968088,0.134609806,0,0,0.204235567,0.531186539,0,4,26.10095735
184,0,0,0,0,0,1,0,4,30
185,0,0,0,0,0,1,0,4,30
186,0,0,0,0,0,1,0,4,30
187,0,0,0,0,0,1,0,4,30
188,0,0,0,0,0,1,0,4,30
189,0,0,0,0,0,1,0,4,30
190,0,0,0,0,0,1,0,4,30
191,0,0,0,0,0,1,0,4,30
192,0,0,0,0,0,1,0,4,30
193,0,0.66893424,0.021793903,0,0.078483245,0.166414714,0.064373898,4,30
194,0,0,0.329771279,0,0.322522185,0.133420822,0.214285714,4,30
195,0,0.002141597,0.33377425,0,0.32249937,0.169816075,0.171768707,4,30
196,0.001249844,0.026121735,0.195538058,0,0.432633421,0.184601925,0.159855018,4,29.96250469
197,0.03180902,0.033383724,0.052154195,0,0.218946838,0.407281431,0.256424792,4,29.0457294
198,0.061854371,0.041572184,0.070168808,0,0.311476442,0.257306626,0.257621567,4,28.14436886
199,0.002374703,0.148543932,0.088988876,0,0.363829521,0.153730784,0.242532183,4,29.92875891
200,0.030171328,0.243449232,0.18808264,0,0.12824389,0.313114135,0.096938776,4,29.09486017
201,0.152620307,0.114386495,6.30E-05,0,0.097253716,0.614071555,0.021604938,4,25.42139078
202,0.034183227,0.120359955,0.000187477,0,0.121047369,0.5199975,0.204224472,4,28.97450319
