FID,roof,road,watr,conc,Veg,dry,irr,H,W
5449,0,0,0.0192,0,0.7472,0.1888,0.0448,0.192,29.424
5450,0.011014492,0,0.001538462,0.368985507,0.301538462,0.312307692,0.004615385,0.153846154,29.53846154
5451,0.006075601,0,0,0.347524399,0.224,0.4224,0,0.08,29.76
5452,0.45474223,0,0,0.38845777,0.064,0.0928,0,4.72,15.84
5453,0.226642984,0,0,0.653357016,0.0416,0.0784,0,2.32,23.04
5454,0,0,0,0.647692308,0.252307692,0.1,0,0,30
5455,0,0,0,0.703076923,0.024615384,0.272307692,0,0,30
5456,0,0,0,0.900887574,0.065088758,0.034023669,0,0,30
5457,0,0,0,0.670769231,0.052307692,0.276923077,0,0,30
5458,0,0,0,0.404615385,0.304615384,0.290769231,0,0,30
5459,0,0,0.053846154,0.269230769,0.113846154,0.563076923,0,0,30
5460,0,0,0.027692308,0,0.038461538,0.933846154,0,0,30
5461,0,0,0.119822485,0,0.207100592,0.673076923,0,0,30
5462,0,0,0.249230769,0,0.113846154,0.636923077,0,0,30
5463,0,0,0.453846154,0,0.426153846,0.12,0,0,30
5464,0,0,0.324615385,0,0.476923077,0.198461538,0,0,30
5465,0,0,0.526627219,0,0.24556213,0.227810651,0,0,30
5466,0,0,0.864615385,0,0.133846154,0.001538462,0,0,30
5467,0.523793103,0,0.043076923,0.003899205,0.193846154,0.233846154,0.001538462,2.852,11.4
5468,0.458668909,0,0,0.29979263,0.172307692,0.067692308,0.001538462,2.349538462,14.67692308
5469,0.610620946,0,0,0.240148285,0.086153846,0.063076923,0,2.951076923,10.75384615
5470,0.291721666,0,0,0.020408512,0.144970414,0.50295858,0.039940828,1.773372781,19.21597633
5471,0.21406929,0,0,0.012084557,0.353846154,0.416923077,0.003076923,1.771692308,18.55384615
5472,0.375089109,0,0,0.318757045,0.166153846,0.14,0,1.932,17.4
5473,0.727519959,0,0,0.175556964,0.061538462,0.035384615,0,3.460615385,7.430769231
5474,0.267588357,0,0,0.057027027,0.261538462,0.409230769,0.004615385,1.735076923,18.73846154
5475,0.001460078,0,0,0.673096135,0.01775148,0.304733728,0.00295858,0.006804734,29.9556213
5476,0,0,0,1,0,0,0,0,30
5477,0,0,0,1,0,0,0,0,30
5478,0,0,0,1,0,0,0,0,30
5479,0,0,0,1,0,0,0,0,30
5480,0,0,0,0.967455621,0.01775148,0.014792899,0,0,30
5481,0,0,0.216923077,0.169230769,0.061538462,0.552307692,0,0,30
5482,0,0,0.295384615,0,0.029230769,0.664615385,0.010769231,0,30
5483,0,0,0.833846154,0,0.007692308,0.156923077,0.001538462,0,30
5484,0,0,0.454142012,0,0.00591716,0.516272189,0.023668639,0,30
5485,0.220766988,0,0.053846154,0.133079165,0.347692308,0.226153846,0.018461538,1.514461538,20.12307692
5486,0.131572499,0,0,0.016119809,0.747692308,0.095384615,0.009230769,2.137230769,16.06153846
5487,0.115384616,0,0,0.006153846,0.72923077,0.126153846,0.023076923,2.123076923,16.15384615
5488,0.270752089,0,0,0.089247911,0.384615384,0.232307692,0.023076923,1.910769231,17.53846154
5489,0.295248869,0,0,0.037591368,0.591715976,0.075443787,0,2.565384615,13.26923077
5490,0.085704968,0,0,0.300448878,0.461538462,0.146153846,0.006153846,0.629846154,25.89230769
5491,0.504894304,0,0,0.185874927,0.23076923,0.078461538,0,2.710461538,12.32307692
5492,0.1260322,0,0,0.349352415,0.372307692,0.118461538,0.033846154,0.806769231,24.73846154
5493,0.458062909,0,0,0.175783245,0.252307692,0.110769231,0.003076923,2.526461538,13.52307692
5494,0.065346615,0,0,0.134357527,0.568047338,0.218934911,0.013313609,0.728106509,25.25147929
5495,0.084900285,0,0,0.13048433,0.732307692,0.044615385,0.007692308,1.054461538,23.12307692
5496,0.348025641,0,0,0.078128205,0.44,0.087692308,0.046153846,2.427384615,14.16923077
5497,0.190782697,0,0,0.350755764,0.323076924,0.129230769,0.006153846,1.139384615,22.56923077
5498,0.094371148,0,0,0.114859622,0.618461538,0.172307692,0,1.075692308,22.98461538
5499,0.088869405,0,0,0.167047754,0.621301776,0.122781065,0,0.905029586,24.09763314
5500,0.227938743,0,0,0.228984334,0.43076923,0.112307692,0,1.542769231,19.93846154
5501,0,0,0.010769231,0,0.421538461,0.466153846,0.101538462,0.127384615,29.16923077
5502,0,0,0.004615385,0,0.116923076,0.638461538,0.24,0,30
5503,0,0,0,0,0.088757397,0.612426036,0.298816568,0,30
